tconst	averageRating	numVotes
tt0094517	8.6	27282
tt0094518	5.1	720
tt0094519	7.8	3042
tt0094521	7.6	1969
tt0094525	8.6	56806
tt0094526	5.6	1087
tt0094531	6.7	6440
tt0094535	8.4	38689
tt0094540	7.1	48410
tt0094559	6.0	1597
tt0094562	7.8	1008
tt0094574	8.3	7151
tt0094576	8.2	1087
tt0094578	6.5	1596
tt0094580	8.2	6094
tt0094582	8.4	42892
tt0094791	6.8	5067
tt0094999	6.4	1116
tt0095388	7.4	6081
tt0095474	6.8	680
tt0095678	7.4	959
tt0096134	6.5	685
tt0096356	7.0	642
tt0096531	6.9	5764
tt0096532	6.6	3391
tt0096534	6.9	607
tt0096535	7.1	3753
tt0096536	8.6	2043
tt0096537	6.5	1059
tt0096540	7.8	5396
tt0096542	5.5	32196
tt0096543	7.3	8789
tt0096545	6.2	2674
tt0096548	8.8	61462
tt0096550	6.2	1103
tt0096553	6.8	649
tt0096554	6.3	1448
tt0096555	6.1	3928
tt0096557	7.6	22701
tt0096560	7.0	8982
tt0096563	6.9	7628
tt0096565	7.4	1711
tt0096569	6.5	10211
tt0096579	6.6	31527
tt0096582	6.9	2321
tt0096591	7.7	2237
tt0096597	3.5	1526
tt0096610	7.2	3627
tt0096611	7.5	616
tt0096619	8.1	576
tt0096626	8.4	11506
tt0096633	9.0	6348
tt0096635	7.2	3180
tt0096636	4.5	2471
tt0096639	8.7	28689
tt0096641	7.2	531
tt0096642	7.8	1691
tt0096643	6.5	3367
tt0096646	7.3	755
tt0096657	8.6	145434
tt0096658	6.4	687
tt0096661	6.3	589
tt0096673	7.2	846
tt0096677	7.7	513
tt0096679	8.0	1169
tt0096681	6.9	2570
tt0096684	8.2	38527
tt0096685	8.1	2112
tt0096686	7.9	6301
tt0096688	7.5	1109
tt0096694	7.1	39199
tt0096697	8.6	458948
tt0096707	6.3	5215
tt0096708	8.0	28810
tt0096716	8.4	1651
tt0096725	8.2	3395
tt0096732	7.7	2785
tt0096816	6.6	1722
tt0096985	6.8	974
tt0097445	6.8	1566
tt0097553	7.7	3038
tt0097661	8.0	1755
tt0097810	7.8	1282
tt0098032	7.7	1175
tt0098352	7.6	1494
tt0098479	6.8	721
tt0098492	7.7	2266
tt0098674	7.7	1482
tt0098737	7.8	2685
tt0098740	6.2	6215
tt0098749	6.5	39806
tt0098752	6.4	2021
tt0098762	7.0	2097
tt0098763	6.7	13264
tt0098765	8.7	6539
tt0098766	7.3	502
tt0098769	9.0	22323
tt0098772	4.5	713
tt0098774	8.1	1978
tt0098780	7.6	4171
tt0098781	8.0	1785
tt0098782	6.6	701
tt0098785	7.5	675
tt0098790	7.0	1751
tt0098794	6.6	1022
tt0098795	5.2	826
tt0098796	6.8	651
tt0098798	7.1	8533
tt0098800	7.9	150431
tt0098802	8.1	3204
